id,fecha,pronostico,temperatura_maxima,temperatura_minima,probabilidad_lluvia,viento_dia,direccion_viento_dia,viento_noche,direccion_viento_noche,humedad_dia_porcentaje,humedad_noche_porcentaje,indice_UV_dia,indice_UV_noche,amanecer,puesta_solar,salida_lunar,puesta_lunar,fase_lunar
95,sab 12,Parcialmente nublado,38,25,15,11,O ,15,SO ,30,39,Extremo,0 de 11,06:28:00,19:52:00,02:50:00,17:52:00,Cuarto menguante
96,dom 13,Mayormente soleado,38,25,14,10,SSE ,13,N ,33,35,Extremo,0 de 11,06:29:00,19:51:00,03:45:00,18:38:00,Cuarto menguante
97,lun 14,Soleado,39,25,9,16,ESE ,18,E ,26,26,Extremo,0 de 11,06:29:00,19:50:00,04:42:00,19:18:00,Cuarto menguante
98,mar 15,Parcialmente nublado,39,26,2,14,ESE ,14,ESE ,24,26,Extremo,0 de 11,06:30:00,19:49:00,05:40:00,19:52:00,Nueva
99,mie 16,Soleado,40,26,2,10,SE ,12,ESE ,23,23,Extremo,0 de 11,06:31:00,19:48:00,06:37:00,20:21:00,Nueva
100,jue 17,Mayormente soleado,41,27,8,12,SE ,16,SE ,20,24,Extremo,0 de 11,06:31:00,19:47:00,07:33:00,20:49:00,Nueva visible
101,vie 18,Mayormente soleado,40,26,7,13,SE ,16,ESE ,21,29,Extremo,0 de 11,06:32:00,19:46:00,08:27:00,21:14:00,Nueva visible
102,sab 19,Parcialmente nublado,39,26,19,16,ESE ,17,ESE ,25,29,Extremo,0 de 11,06:33:00,19:45:00,09:22:00,21:39:00,Nueva visible
103,dom 20,Parcialmente nublado,39,26,2,15,SE ,17,ESE ,25,29,Extremo,0 de 11,06:33:00,19:44:00,10:16:00,22:05:00,Nueva visible
104,lun 21,Mayormente soleado,38,25,12,15,SE ,17,ESE ,26,29,10 de 11,0 de 11,06:34:00,19:43:00,11:12:00,22:32:00,Nueva visible
105,mar 22,Mayormente soleado,38,25,5,15,ESE ,16,ESE ,26,30,10 de 11,0 de 11,06:34:00,19:41:00,12:11:00,23:03:00,Nueva visible
106,mie 09,Soleado,40,27,3,19,ONO ,23,ONO ,26,30,Extremo,0 de 11,06:26:00,19:55:00,00:33:00,15:02:00,Cuarto menguante
